cblaster search
===============
AB196490
========
AB196490.1
----------
Cluster 1, score 37.0897:
Query       Subject     Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90070.1  BAE71315.1  99.6      100       9.96e-194  535       26748  27738  +     
AAS90071.1  BAE71316.1  99.2      100       0          3235      29052  34197  -     
AAS90085.1  BAE71317.1  99.4      100       0          3821      34886  40733  +     
AAS90086.1  BAE71318.1  99.3      100       5.59e-301  820       42011  43346  -     
AAS90072.1  BAE71319.1  97.7      100       4.41e-301  820       44085  45536  +     
AAS90073.1  BAE71320.1  98.9      100       9.62e-200  550       46097  46934  +     
AAS90075.1  BAE71321.1  98.7      100       5.15e-238  650       47854  48856  +     
AAS90076.1  BAE71323.1  99.2      100       6.97e-185  511       51244  52144  +     
AAS90077.1  BAE71324.1  93.1      99.8      0          945       53175  54711  +     
AAS90078.1  BAE71325.1  98.4      100       0          1009      55762  57354  -     
AAS90079.1  BAE71326.1  97.8      100       0          992       57721  59278  -     
AAS90090.1  BAE71327.1  98.2      100       2e-194     537       60314  61163  -     
AAS90080.1  BAE71328.1  99        100       3.22e-282  768       61340  62675  -     
AAS90087.1  BAE71329.1  99        100       1.01e-308  838       63940  65427  -     
AAS90081.1  BAE71330.1  99.2      100       0          1089      66672  68623  +     
AAS90088.1  BAE71331.1  99.7      100       0          1283      69137  71124  +     
AAS90082.1  BAE71332.1  99.4      100       0          1042      71667  73316  -     
AAS90084.1  BAE71334.1  94.4      100       2.84e-186  515       75944  76745  -     
AAS90089.1  BAE71335.1  95.4      96.6      0          937       77146  78697  -     


AF452809
========
AF452809.1
----------
Cluster 2, score 1.0640:
Query       Subject     Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90075.1  AAN76353.1  96.8      100       4.75e-234  640       9346   10346  +     


AY371490
========
AY371490.1
----------
Cluster 3, score 39.1416:
Query       Subject     Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90069.1  AAS66020.1  98.4      94.8      0          957       5572   7469   +     
AAS90070.1  AAS66005.1  97        100       8.42e-186  514       17447  18437  +     
AAS90071.1  AAS66002.1  97.8      100       0          3191      19723  24844  -     
AAS90085.1  AAS66003.1  98.6      100       0          3796      25545  31391  +     
AAS90086.1  AAS66018.1  98        100       1.2e-295   807       32835  34170  -     
AAS90072.1  AAS66019.1  97.9      100       5.37e-302  822       34908  36355  +     
AAS90073.1  AAS66009.1  99.3      100       3.36e-200  551       36938  37775  +     
AAS90075.1  AAS66011.1  97.5      100       5.77e-235  642       38694  39694  +     
AAS90074.1  AAS66006.1  98.2      100       1.81e-289  786       39982  41208  +     
AAS90076.1  AAS66014.1  99.2      100       6.97e-185  511       42019  42919  +     
AAS90078.1  AAS66008.1  96.2      100       0          994       46527  48128  -     
AAS90079.1  AAS66013.1  97.4      100       0          985       48495  50052  -     
AAS90090.1  AAS66010.1  87.6      100       1.96e-172  482       51051  51909  -     
AAS90080.1  AAS66016.1  94.3      100       6.12e-271  739       52082  53418  -     
AAS90087.1  AAS66017.1  97.1      100       2.99e-301  819       54735  56222  -     
AAS90081.1  AAS66031.1  96.8      100       0          1067      57542  59488  +     
AAS90088.1  AAS66012.1  98.8      100       0          1275      59999  61984  +     
AAS90082.1  AAS66022.1  97.6      100       0          1022      62551  64200  -     
AAS90084.1  AAS66024.1  93.2      100       5.26e-182  504       66829  67630  -     
AAS90089.1  AAS66025.1  93.5      99        0          952       67989  69582  -     


AY510451
========
AY510451.1
----------
Cluster 4, score 45.4162:
Query       Subject     Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90069.1  AAS90092.1  98.7      100       0          1014      13469  15450  +     
AAS90070.1  AAS90110.1  99.6      100       9.96e-194  535       25421  26411  +     
AAS90071.1  AAS90111.1  99.9      100       0          3255      27718  32839  -     
AAS90085.1  AAS90095.1  99.7      100       0          3830      33552  39399  -     
AAS90086.1  AAS90091.1  100       100       3.52e-304  828       40668  42003  -     
AAS90072.1  AAS90096.1  98.4      100       3.24e-303  825       42742  44195  +     
AAS90073.1  AAS90097.1  99.6      100       1.42e-201  555       44758  45595  +     
AAS90075.1  AAS90098.1  99.7      100       1.87e-240  656       46514  47516  +     
AAS90074.1  AAS90094.1  100       100       4.15e-295  801       47806  49091  +     
AAS90076.1  AAS90099.1  100       100       5.97e-186  514       49905  50805  +     
AAS90077.1  AAS90100.1  96.1      100       0          974       51837  53373  +     
AAS90078.1  AAS90101.1  99.6      100       0          1020      54427  56019  -     
AAS90079.1  AAS90102.1  99.8      100       0          1007      56386  57943  -     
AAS90090.1  AAS90112.1  100       100       5.34e-199  549       58969  59827  -     
AAS90080.1  AAS90103.1  99        100       2.76e-283  771       60006  61341  -     
AAS90087.1  AAS90104.1  98.1      100       2.67e-304  827       62597  64084  -     
AAS90081.1  AAS90105.1  99.6      100       0          1092      65333  67284  +     
AAS90088.1  AAS90106.1  98.1      100       0          1267      67798  69785  +     
AAS90082.1  AAS90107.1  99.6      100       0          1040      70354  72003  -     
AAS90083.1  AAS90108.1  99.7      100       0          1252      72615  74361  +     
AAS90084.1  AAS90109.1  98.9      100       2.87e-195  538       74627  75428  -     
AAS90089.1  AAS90113.1  98.8      100       0          1012      75782  77383  -     


AY510452
========
AY510452.1
----------
Cluster 5, score 39.1413:
Query       Subject     Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAS90069.1  AAS89998.1  97        100       0          993       16160  18141  +     
