cblaster search
===============
GCA_000006275
=============
AAIH03000170.1
--------------
Cluster 1, score 19.5783:
Query        Subject      Identity  Coverage  E-value    Bitscore  Start   End     Strand
AFLA_066840  AFLA_008622  100       100       0          7782      704692  716533  -     
AFLA_066850  AFLA_008623  100       90.6      2.14e-63   191       716817  717117  +     
AFLA_066860  AFLA_008624  100       100       0          1136      717625  719901  -     
AFLA_066870  AFLA_008624  99.3      99.3      7.74e-89   276       717625  719901  -     
AFLA_066880  AFLA_008625  85.1      100       9.52e-272  747       720533  722044  +     
AFLA_066890  AFLA_008626  100       100       0          1019      722642  724554  -     
AFLA_066900  AFLA_008627  97.9      100       0          1624      726829  729366  +     
AFLA_066910  AFLA_008628  100       100       3.49e-262  715       730080  731221  -     
AFLA_066920  AFLA_008629  100       89.7      8.15e-272  741       731580  732722  +     
AFLA_066930  AFLA_008630  100       100       0          1048      732933  734586  -     
AFLA_066940  AFLA_008631  100       100       9.3e-287   780       734918  736312  +     


GCA_000184455
=============
BA000050.1
----------
Cluster 2, score 19.3673:
Query        Subject         Identity  Coverage  E-value    Bitscore  Start   End     Strand
AFLA_066840  AO090001000277  99.6      100       0          7751      688719  700560  -     
AFLA_066850  AO090001000278  95.3      100       3.37e-65   196       700844  701323  +     
AFLA_066870  AO090001000281  100       100       3.9e-97    280       703505  703928  -     
AFLA_066880  AO090001000282  97.9      100       0          905       704561  706072  +     
AFLA_066890  AO090001000284  78.2      57.7      7.67e-148  429       707481  708600  -     
AFLA_066900  AO090001000285  95.8      90.9      0          1432      711105  713417  +     
AFLA_066910  AO090001000286  98.3      66.5      4.15e-167  470       714132  714879  -     
AFLA_066920  AO090001000287  93.6      89.7      4.64e-250  685       715633  716775  +     
AFLA_066930  AO090001000288  98.4      74        3.17e-271  753       717009  718895  -     
AFLA_066940  AO090001000289  99        100       7.33e-284  772       718971  720365  +     


GCA_000269785
=============
AKHY01000013.1
--------------
Cluster 3, score 19.4906:
Query        Subject       Identity  Coverage  E-value    Bitscore  Start  End    Strand
AFLA_066940  Ao3042_11273  99.2      100       1.27e-284  774       17515  18932  -     
