cblaster search
===============
GCA_000002715
=============
DS027053.1
----------
Cluster 1, score 1.0702:
Query           Subject      Identity  Coverage  E-value    Bitscore  Start   End     Strand
AO090001000039  ACLA_066840  80.1      96.5      8.41e-255  702       682017  683358  +     


GCA_000006275
=============
AAIH03000170.1
--------------
Cluster 2, score 36.8276:
Query           Subject      Identity  Coverage  E-value    Bitscore  Start   End     Strand
AO090001000024  AFLA_008372  99.3      98.5      0          1067      69075   73019   -     
AO090001000025  AFLA_008372  98.3      64.2      1.41e-71   238       69075   73019   -     
AO090001000026  AFLA_008372  97.7      97.7      5.08e-78   253       69075   73019   -     
AO090001000028  AFLA_008373  97.8      100       0          970       73234   75054   +     
AO090001000029  AFLA_008374  99.8      93.9      0          897       75157   76639   -     
AO090001000030  AFLA_008376  100       100       6.85e-211  578       77943   78842   -     
AO090001000031  AFLA_008377  99.8      100       0          1086      79307   80963   +     
AO090001000032  AFLA_008378  100       100       0          1546      81562   84357   -     
AO090001000033  AFLA_008379  99.5      100       2.42e-301  836       84595   87534   +     
AO090001000034  AFLA_008379  97.9      94.5      2.31e-167  488       84595   87534   +     
AO090001000035  AFLA_008380  94.8      86        0          885       87728   89583   -     
AO090001000036  AFLA_008382  99.3      60.5      7.86e-105  309       91097   92168   +     
AO090001000037  AFLA_008383  99.7      100       2.26e-232  636       92594   93592   -     
AO090001000038  AFLA_008384  99.4      100       3.1e-238   652       94555   95613   -     
AO090001000039  AFLA_008385  96.1      100       3.34e-309  840       95876   97232   +     
AO090001000040  AFLA_008386  96.9      100       1.33e-163  455       97372   98280   +     
AO090001000041  AFLA_008387  99.6      96.1      0          964       98410   100034  -     
AO090001000042  AFLA_008388  99.8      100       0          866       100265  101660  +     
AO090001000043  AFLA_008389  99.6      97        0          3114      101962  106745  -     
AO090001000044  AFLA_008390  89.4      100       0          1065      107692  109552  -     
AO090001000045  AFLA_008391  99.5      100       3.95e-266  726       109799  111018  +     
AO090001000046  AFLA_008392  99.7      82        1.15e-286  784       111280  112808  -     


GCA_000184455
=============
BA000050.1
----------
Cluster 3, score 45.0492:
Query           Subject         Identity  Coverage  E-value    Bitscore  Start   End     Strand
AO090001000024  AO090001000024  100       100       0          1092      59594   61472   -     
AO090001000025  AO090001000025  100       100       5.54e-134  376       61727   62392   -     
AO090001000026  AO090001000026  100       100       1.1e-90    263       62522   62975   -     
AO090001000028  AO090001000028  100       100       0          994       63752   65572   +     
AO090001000029  AO090001000029  100       100       0          958       65675   67216   -     
AO090001000030  AO090001000030  100       100       6.85e-211  578       68461   69360   -     
AO090001000031  AO090001000031  100       100       0          1088      69826   71482   +     
AO090001000032  AO090001000032  100       100       0          1546      72082   74877   -     
AO090001000033  AO090001000033  100       100       2.05e-309  840       75115   76547   +     
AO090001000034  AO090001000034  100       100       1.73e-191  528       76701   77472   +     
AO090001000035  AO090001000035  100       100       0          1070      78249   81343   -     
AO090001000036  AO090001000036  100       100       1.86e-177  491       81751   82689   +     
AO090001000037  AO090001000037  100       100       2.75e-233  638       83115   84113   -     
AO090001000038  AO090001000038  100       100       2.67e-241  660       85076   86134   -     
AO090001000039  AO090001000039  100       100       0          889       86397   87754   +     
AO090001000040  AO090001000040  100       100       9.64e-167  462       87948   88802   +     
AO090001000041  AO090001000041  100       100       0          1015      88932   90719   -     
AO090001000042  AO090001000042  100       100       0          868       90811   92182   +     
AO090001000043  AO090001000043  100       100       0          3238      92484   97411   -     
AO090001000044  AO090001000044  100       100       0          1222      98215   100075  -     
AO090001000045  AO090001000045  100       100       1.68e-267  729       100322  101541  +     
AO090001000046  AO090001000046  100       100       0          947       101803  103337  -     


GCA_000269785
=============
AKHY01000111.1
--------------
Cluster 4, score 45.0130:
Query           Subject       Identity  Coverage  E-value    Bitscore  Start   End     Strand
AO090001000046  Ao3042_02545  98.5      100       0          937       129338  130872  +     
AO090001000045  Ao3042_02546  94        100       5.76e-249  682       131134  132353  -     
AO090001000044  Ao3042_02547  95.9      100       0          1154      132600  134460  +     
AO090001000043  Ao3042_02548  99.4      100       0          3226      135263  140190  +     
AO090001000042  Ao3042_02549  99.5      100       0          864       140492  141863  -     
AO090001000041  Ao3042_02550  99.8      84.2      1.1e-307   838       142159  143814  +     
AO090001000040  Ao3042_02551  96.9      100       7.71e-164  455       143872  144748  -     
AO090001000039  Ao3042_02552  99.3      100       0          883       144857  147115  -     
AO090001000038  Ao3042_02553  99.7      100       1.54e-240  658       146540  147772  +     
AO090001000037  Ao3042_02554  99.7      100       2.26e-232  636       148437  149684  +     
AO090001000036  Ao3042_02555  100       100       4.49e-177  491       149983  151171  -     
AO090001000035  Ao3042_02556  98.7      100       0          1061      151261  154423  +     
AO090001000034  Ao3042_02557  100       100       1.73e-191  528       155200  155971  -     
AO090001000033  Ao3042_02558  100       100       2.05e-309  840       156125  157557  -     
AO090001000032  Ao3042_02559  100       100       0          1546      157795  160590  +     
AO090001000031  Ao3042_02560  100       100       0          1088      161096  163128  -     
AO090001000030  Ao3042_02561  100       100       6.85e-211  578       163227  164383  +     
AO090001000029  Ao3042_02562  100       100       0          958       165429  166997  +     
AO090001000028  Ao3042_02563  100       100       0          994       166284  168920  -     
AO090001000026  Ao3042_02564  100       100       1.1e-90    263       169697  170150  +     
AO090001000025  Ao3042_02565  97.2      100       3.39e-127  358       170280  170945  +     
AO090001000024  Ao3042_02566  100       100       0          1092      171200  173208  +     


GCA_000691885
=============
AMCJ01000084.1
--------------
Cluster 5, score 41.9932:
Query           Subject       Identity  Coverage  E-value    Bitscore  Start   End     Strand
AO090001000024  AO1008_09839  100       100       0          1092      60979   62987   -     
AO090001000025  AO1008_09840  97.2      100       3.39e-127  358       63242   63907   -     
AO090001000028  AO1008_09841  100       100       0          994       65267   67903   +     
AO090001000029  AO1008_09842  100       100       0          958       67190   68758   -     
AO090001000030  AO1008_09843  100       100       6.85e-211  578       69804   70960   -     
AO090001000031  AO1008_09844  100       100       0          1088      71059   73091   +     
AO090001000032  AO1008_09845  100       100       0          1546      73597   76392   -     
AO090001000033  AO1008_09846  100       100       2.05e-309  840       76630   78062   +     
AO090001000034  AO1008_09847  100       100       1.73e-191  528       78216   78987   +     
AO090001000035  AO1008_09848  98.7      100       0          1061      79764   82926   -     
AO090001000036  AO1008_09849  100       100       4.49e-177  491       83016   84204   +     
AO090001000037  AO1008_09850  99.7      100       2.26e-232  636       84503   85750   -     
AO090001000038  AO1008_09851  99.7      100       1.54e-240  658       86415   87647   -     
AO090001000039  AO1008_09852  99.3      100       0          883       87072   89330   +     
AO090001000040  AO1008_09853  96.9      100       7.71e-164  455       89439   90315   +     
AO090001000041  AO1008_09854  99.8      84.2      1.1e-307   838       90373   92028   -     
AO090001000042  AO1008_09855  99.5      100       0          864       92324   93695   +     
AO090001000043  AO1008_09856  99.4      100       0          3226      93997   98924   -     
AO090001000044  AO1008_09857  97.9      100       0          1186      99727   101587  -     
AO090001000045  AO1008_09858  97.5      100       7.32e-262  715       101834  103053  +     
AO090001000046  AO1008_09859  98.5      100       0          937       103315  104849  -     


GCA_000952835
=============
JZDT01000059.1
--------------
Cluster 6, score 35.8405:
Query           Subject           Identity  Coverage  E-value    Bitscore  Start   End     Strand
AO090001000024  AFLA70_62g003921  99.6      100       0          1088      58071   60103   -     
AO090001000025  AFLA70_62g003931  96.6      65.4      5.62e-76   239       60300   62112   -     
AO090001000026  AFLA70_62g003931  96.9      97.7      3.87e-81   251       60300   62112   -     
AO090001000028  AFLA70_62g003941  98.4      100       0          976       62327   64147   +     
AO090001000029  AFLA70_62g003951  99.8      93.9      0          899       64250   65790   -     
AO090001000030  AFLA70_62g003961  100       100       6.85e-211  578       66937   67935   -     
AO090001000031  AFLA70_62g003970  100       100       0          1088      68401   70057   +     
AO090001000032  AFLA70_62g003981  99.9      100       0          1546      70656   73451   -     
AO090001000033  AFLA70_62g003991  99.5      100       2.42e-301  836       73689   76628   +     
AO090001000034  AFLA70_62g003991  97.9      94.5      6.53e-167  486       73689   76628   +     
AO090001000035  AFLA70_62g004001  95        86        0          887       76821   78748   -     
AO090001000036  AFLA70_62g004020  98.6      60.5      2.24e-104  308       80124   81268   +     
AO090001000037  AFLA70_62g004031  99.7      100       2.26e-232  636       81639   82932   -     
AO090001000038  AFLA70_62g004041  99.4      100       2.56e-239  655       83647   84705   -     
AO090001000039  AFLA70_62g004061  99.3      95.8      3.39e-308  847       84965   87381   +     
AO090001000040  AFLA70_62g004061  96.9      100       1.59e-157  455       84965   87381   +     
