cblaster search
===============
GCA_000006275
=============
AAIH03000077.1
--------------
Cluster 1, score 27.7826:
Query           Subject      Identity  Coverage  E-value    Bitscore  Start   End     Strand
AO090010000155  AFLA_013699  99.2      100       0          995       406849  408397  -     
AO090010000156  AFLA_013700  99.5      100       0          3971      408880  415154  +     
AO090010000159  AFLA_013706  98.3      100       0          1556      419579  422117  +     
AO090010000160  AFLA_013707  100       100       0          1021      422852  424529  -     
AO090010000161  AFLA_013708  100       100       0          958       425780  427280  -     
AO090010000163  AFLA_013709  99.3      100       6.7e-103   305       427627  429033  +     
AO090010000162  AFLA_013709  100       86.7      1.57e-187  526       427627  429033  +     
AO090010000165  AFLA_013711  81.5      100       3.13e-244  683       430166  432152  -     
AO090010000164  AFLA_013711  97.9      100       5.05e-32   124       430166  432152  -     
AO090010000166  AFLA_013712  100       91.2      2.41e-134  377       433284  433824  -     
AO090010000167  AFLA_013713  85.9      100       2.07e-289  791       434735  436145  -     
AO090010000168  AFLA_013714  99.7      100       8.51e-262  712       436950  438193  +     
AO090010000169  AFLA_013715  99.4      100       0          944       439232  440825  -     
AO090010000170  AFLA_013716  100       100       0          900       441408  442920  -     
AO090010000171  AFLA_013717  99.6      100       0          3424      443596  449130  +     
AO090010000172  AFLA_013719  97.4      87.1      0          968       451355  453363  -     


GCA_000149615
=============
CH476606.1
----------
Cluster 2, score 1.0587:
Query           Subject     Identity  Coverage  E-value    Bitscore  Start   End     Strand
AO090010000165  ATEG_08644  66.8      99.3      3.08e-203  587       416441  419293  -     


GCA_000184455
=============
BA000056.1
----------
Cluster 3, score 32.8998:
Query           Subject         Identity  Coverage  E-value    Bitscore  Start    End      Strand
AO090010000172  AO090010000172  100       100       0          1143      2952947  2956882  +     
AO090010000171  AO090010000171  100       100       0          3440      2957180  2962714  -     
AO090010000170  AO090010000170  100       100       0          900       2963390  2964902  +     
AO090010000169  AO090010000169  100       100       0          949       2965485  2967077  +     
AO090010000168  AO090010000168  100       100       3.61e-263  716       2968118  2969361  -     
AO090010000167  AO090010000167  100       100       0          953       2970166  2971576  +     
AO090010000166  AO090010000166  100       100       3.55e-146  408       2972480  2973319  +     
AO090010000165  AO090010000165  100       100       0          893       2974152  2975466  +     
AO090010000164  AO090010000164  100       100       4.31e-38   130       2975703  2976138  +     
AO090010000163  AO090010000163  100       100       1.88e-107  306       2977270  2977726  -     
AO090010000162  AO090010000162  100       100       1.45e-218  599       2977791  2978676  -     
AO090010000161  AO090010000161  100       100       0          958       2979023  2980523  +     
AO090010000160  AO090010000160  100       100       0          1021      2981773  2983450  +     
AO090010000159  AO090010000159  100       100       0          1593      2984184  2986722  -     
AO090010000156  AO090010000156  100       100       0          3988      2991153  2997427  -     
AO090010000155  AO090010000155  100       100       0          1001      2997911  2999451  +     


GCA_000269785
=============
AKHY01000175.1
--------------
Cluster 4, score 25.5593:
Query           Subject       Identity  Coverage  E-value    Bitscore  Start    End      Strand
AO090010000171  Ao3042_08559  98.2      100       0          3410      1332031  1337565  -     
AO090010000170  Ao3042_08560  99.8      100       0          899       1338239  1339751  +     
AO090010000169  Ao3042_08561  99.4      100       0          944       1340334  1341928  +     
AO090010000168  Ao3042_08562  99.7      100       8.51e-262  712       1342759  1344122  -     
AO090010000167  Ao3042_08563  100       100       0          953       1344839  1346400  +     
AO090010000166  Ao3042_08564  100       100       3.55e-146  408       1347249  1348088  +     
AO090010000165  Ao3042_08565  92.1      92.2      1.97e-273  749       1348757  1350168  +     
AO090010000164  Ao3042_08566  97.9      100       2.3e-35    124       1350337  1350772  +     
AO090010000163  Ao3042_08567  100       100       1.88e-107  306       1351905  1352383  -     
AO090010000162  Ao3042_08568  100       100       1.45e-218  599       1352426  1353311  -     
AO090010000161  Ao3042_08569  100       100       0          958       1353658  1355158  +     
AO090010000159  Ao3042_08571  98.4      100       0          1559      1358577  1361594  -     
AO090010000156  Ao3042_08573  99.5      100       0          3972      1365781  1372172  -     


GCA_000691885
=============
AMCJ01000103.1
--------------
Cluster 5, score 25.5593:
