cblaster search
===============
GCA_000006275
=============
AAIH03000282.1
--------------
Cluster 1, score 27.9588:
Query        Subject      Identity  Coverage  E-value    Bitscore  Start    End      Strand
AFLA_094940  AFLA_009731  99.6      97.2      6.19e-179  502       1599640  1601854  -     
AFLA_094950  AFLA_009732  77.7      100       1.15e-271  747       1602203  1604015  +     
AFLA_094960  AFLA_009733  63.7      83.1      5.21e-185  527       1604221  1606050  +     
AFLA_094990  AFLA_009735  87.2      100       4.21e-155  433       1608006  1608916  -     
AFLA_095000  AFLA_009736  100       100       2.95e-45   143       1609206  1609472  +     
AFLA_095010  AFLA_009737  99.8      99        0          972       1609511  1611563  +     
AFLA_095020  AFLA_009738  44.4      93.7      9.77e-30   110       1611663  1612637  -     
AFLA_095030  AFLA_009740  100       100       0          1182      1613079  1615144  +     
AFLA_095040  AFLA_009742  100       100       0          880       1615251  1616704  -     
AFLA_095050  AFLA_009743  96.2      100       0          947       1616968  1618618  +     
AFLA_095060  AFLA_009744  100       100       2.41e-281  763       1618832  1620182  +     
AFLA_095070  AFLA_009745  97.7      100       0          960       1620305  1622096  -     
AFLA_095080  AFLA_009746  100       93.6      1.36e-196  555       1624287  1626114  +     
AFLA_095090  AFLA_009746  100       100       1.94e-215  603       1624287  1626114  +     
AFLA_095100  AFLA_009747  100       96.4      1.33e-110  320       1626420  1627312  -     
AFLA_095110  AFLA_009748  100       100       5.77e-180  499       1627581  1628467  +     


GCA_000149615
=============
CH476607.1
----------
Cluster 2, score 1.0418:
Query        Subject     Identity  Coverage  E-value    Bitscore  Start   End     Strand
AFLA_094950  ATEG_09105  48        93.5      9.83e-142  418       291186  293024  -     


GCA_000149645
=============
DS027688.1
----------
Cluster 3, score 1.0467:
Query        Subject      Identity  Coverage  E-value    Bitscore  Start  End    Strand
AFLA_095040  NFIA_007580  57.5      92.3      5.78e-149  467       52477  57594  -     


GCA_000184455
=============
BA000053.1
----------
Cluster 4, score 17.7702:
Query        Subject         Identity  Coverage  E-value    Bitscore  Start    End      Strand
AFLA_094950  AO090113000021  76.5      99        4.2e-264   730       4100194  4103872  +     
AFLA_094960  AO090113000022  63.9      83.1      4.7e-185   527       4104078  4105907  +     
AFLA_094990  AO090113000025  91.9      63.8      6.7e-95    278       4107822  4108494  -     
AFLA_095010  AO090113000027  97.9      100       0          956       4109893  4111383  +     
AFLA_095030  AO090113000029  98.6      100       0          1164      4112906  4114971  +     
AFLA_095040  AO090113000030  99.3      100       0          870       4115078  4116528  -     
AFLA_095050  AO090113000031  99.6      100       0          992       4116792  4118442  +     
AFLA_095060  AO090113000032  100       100       2.41e-281  763       4118656  4120032  +     
AFLA_095080  AO090113000035  100       93.6      1.36e-196  555       4122515  4124342  +     
AFLA_095090  AO090113000035  100       100       1.94e-215  603       4122515  4124342  +     
AFLA_095100  AO090113000036  100       96.4      3.67e-110  320       4124648  4125539  -     
AFLA_095110  AO090113000037  100       100       1.72e-180  499       4125961  4126693  +     


GCA_000269785
=============
AKHY01000126.1
--------------
Cluster 5, score 15.6060:
Query        Subject       Identity  Coverage  E-value    Bitscore  Start   End     Strand
AFLA_095110  Ao3042_04033  98.8      100       1.65e-178  494       147387  148119  -     
AFLA_095100  Ao3042_04034  100       96.4      3.67e-110  320       148475  149489  +     
AFLA_095080  Ao3042_04035  100       93.6      1.36e-196  555       149578  151864  -     
AFLA_095090  Ao3042_04035  99.3      100       1.29e-213  599       149578  151864  -     
AFLA_095060  Ao3042_04038  99.7      100       1.98e-280  761       155645  157019  -     
AFLA_095040  Ao3042_04041  99.3      100       0          870       159147  160597  +     
AFLA_095030  Ao3042_04042  99.2      100       0          1173      160470  162769  -     
AFLA_095020  Ao3042_04043  97.7      55.7      2.13e-25   97.1      163219  164211  +     
AFLA_095010  Ao3042_04044  97.3      100       0          948       164293  165783  -     
AFLA_094990  Ao3042_04045  91.9      63.8      6.7e-95    278       167184  167856  +     
AFLA_094960  Ao3042_04047  63.3      83.1      2.54e-182  520       169456  171292  -     


GCA_000691885
=============
AMCJ01000014.1
--------------
Cluster 6, score 1.0520:
Query        Subject       Identity  Coverage  E-value    Bitscore  Start  End    Strand
AFLA_094960  AO1008_01363  63.3      83.1      2.54e-182  520       17146  18982  +     

AMCJ01000172.1
--------------
Cluster 7, score 14.5327:
Query        Subject       Identity  Coverage  E-value    Bitscore  Start   End     Strand
