cblaster search
===============
GCA_000002655
=============
CM000172.1
----------
Cluster 1, score 28.3115:
Query         Subject       Identity  Coverage  E-value    Bitscore  Start    End      Strand
AFUA_4G14450  AFUA_4G14450  100       100       0          1028      3820197  3821706  +     
AFUA_4G14460  AFUA_4G14460  100       100       1.28e-245  670       3822104  3823064  -     
AFUA_4G14480  AFUA_4G14480  100       100       9.81e-108  308       3823417  3823953  -     
AFUA_4G14470  AFUA_4G14470  100       100       1.85e-105  301       3824227  3824754  +     
AFUA_4G14490  AFUA_4G14490  100       100       0          1315      3824996  3827124  +     
AFUA_4G14500  AFUA_4G14500  100       100       0          899       3827613  3828951  +     
AFUA_4G14510  AFUA_4G14510  100       100       3.39e-211  580       3829111  3830135  -     
AFUA_4G14520  AFUA_4G14520  100       100       4.59e-195  537       3830721  3831513  +     
AFUA_4G14530  AFUA_4G14530  100       100       3.49e-171  474       3831930  3832608  +     
AFUA_4G14540  AFUA_4G14540  100       100       1.44e-290  790       3832697  3833888  -     
AFUA_4G14550  AFUA_4G14550  100       100       2.32e-310  843       3835259  3836625  -     
AFUA_4G14560  AFUA_4G14560  100       100       0          3541      3836930  3842461  -     
AFUA_4G14570  AFUA_4G14570  100       100       2.07e-314  852       3842599  3843865  +     
AFUA_4G14580  AFUA_4G14580  100       100       0          977       3844265  3845902  +     


GCA_000149645
=============
DS027685.1
----------
Cluster 2, score 25.1475:
Query         Subject      Identity  Coverage  E-value    Bitscore  Start   End     Strand
AFUA_4G14580  NFIA_101790  95.6      100       0          936       165235  166867  -     
AFUA_4G14570  NFIA_101800  88.8      80.5      5.88e-216  599       167264  168285  -     
AFUA_4G14560  NFIA_101810  93.7      100       0          3331      168675  174217  +     
AFUA_4G14550  NFIA_101820  89.1      99.1      4.91e-272  747       174545  175926  +     
AFUA_4G14540  NFIA_101830  87.6      100       2.34e-248  683       177352  178543  +     
AFUA_4G14530  NFIA_101840  93.8      100       1.41e-161  449       178624  179302  -     
AFUA_4G14520  NFIA_101850  94.6      99.2      3.82e-184  510       179673  180483  -     
AFUA_4G14500  NFIA_101870  92.1      100       1.55e-303  827       182361  183699  -     
AFUA_4G14490  NFIA_101880  92.4      100       0          1210      184203  186331  -     
AFUA_4G14470  NFIA_101890  95.8      100       2.68e-99   285       186577  187122  -     
AFUA_4G14480  NFIA_101900  92        100       8.26e-98   283       187385  187923  +     
AFUA_4G14460  NFIA_101910  91.8      100       1.98e-224  616       188279  189239  +     
AFUA_4G14450  NFIA_101920  96.8      100       0          999       189694  191203  -     


GCA_000150145
=============
DS499598.1
----------
Cluster 3, score 25.2312:
Query         Subject      Identity  Coverage  E-value    Bitscore  Start    End      Strand
AFUA_4G14450  AFUB_071700  100       100       0          1028      2520608  2522117  +     
AFUA_4G14460  AFUB_071710  100       100       1.28e-245  670       2522515  2523475  -     
AFUA_4G14480  AFUB_071720  100       100       9.81e-108  308       2523828  2524364  -     
AFUA_4G14470  AFUB_071730  100       100       1.85e-105  301       2524638  2525165  +     
AFUA_4G14490  AFUB_071740  99.8      100       0          1313      2525407  2527535  +     
AFUA_4G14500  AFUB_071750  100       100       0          899       2528024  2529362  +     
AFUA_4G14510  AFUB_071760  100       100       3.39e-211  580       2529522  2530546  -     
